['snr_itke2_x_t8', 0.7441666666666668]
['snr_itke1_x_t8', 0.693]
['interQuartiles_x_vel_on_t8', 0.6546666666666667]
['interQuartiles_x_vel_on_t8', 0.6486666666666671]
['rel_NCV_on_t8', 0.5558333333333334]
['snr_tke1_x_t8', 0.3315000000000001]
['percentiles1_pressure_rate_t8', 0.33099999999999996]
['snr_tke2_x_t8', 0.32249999999999995]
['snr_ice_x_t8', 0.32183333333333336]
