["'percentiles99_acc_off_t3'", 0.6293928571428573]
["'geoMean_x_jerk_on_t8'", 0.628892857142857]
["'percentiles90_x_vel_off_t3'", 0.6273571428571428]
["'robustRange_vel_off_t8'", 0.627]
["'percentiles99_y_jerk_off_t8'", 0.6268571428571428]
["'robustRange_acc_off_t3'", 0.6268214285714283]
["'percentiles95_x_acc_off_t3'", 0.6265000000000002]
["'percentiles95_x_acc_on_t7'", 0.6256071428571428]
["'percentiles99_y_acc_off_t8'", 0.6252500000000001]
["'x_renyi2_i2_t6'", 0.6246785714285713]
["'robustRange_y_jerk_off_t8'", 0.6234642857142855]
["'trimMean20_acc_on_t8'", 0.6228214285714285]
["'interQuartiles_x_vel_on_t3'", 0.6227142857142857]
["'medians_vel_on_t8'", 0.6226428571428573]
["'trimMean20_x_vel_on_t8'", 0.6218928571428571]
["'x_renyi2_t8'", 0.6215357142857143]
["'medians_strokespeed_t7'", 0.6212857142857141]
["'moments5_x_vel_off_t2'", 0.62125]
["'trimMean40_acc_on_t8'", 0.6211428571428571]
["'moments3_x_vel_on_t8'", 0.6209642857142857]
["'stdDevs_strokespeed_t8'", 0.6209285714285714]
["'moments4_x_vel_on_t8'", 0.6207500000000001]
["'moments5_jerk_off_t3'", 0.6204642857142856]
["'moments5_x_jerk_off_t2'", 0.6197142857142857]
["'robustRange_vel_on_t8'", 0.6193928571428572]
["'stdDevs_x_vel_off_t8'", 0.6191785714285714]
["'arithMean_x_jerk_on_t8'", 0.6185357142857144]
["'geoMean_x_jerk_on_t7'", 0.6185]
["'geoMean_x_acc_on_t8'", 0.6173214285714286]
["'moments5_acc_off_t3'", 0.6172142857142856]
["'stdDevs_x_vel_on_t7'", 0.6167142857142858]
["'percentiles90_strokespeed_t7'", 0.6162142857142857]
["'percentiles99_x_vel_off_t8'", 0.6160357142857144]
["'stdDevs_x_vel_on_t7'", 0.6158214285714285]
["'geoMean_y_jerk_off_t2'", 0.6153928571428569]
["'stdDevs_x_vel_on_t6'", 0.6151785714285712]
["'interQuartiles_x_vel_on_t3'", 0.6150714285714286]
["'arithMean_x_vel_on_t8'", 0.6148214285714286]
["'interQuartiles_x_acc_off_t3'", 0.6143571428571428]
["'trimMean30_vel_on_t8'", 0.6143214285714287]
["'trimMean10_y_jerk_on_t8'", 0.6138928571428571]
["'interQuartiles_vel_on_t7'", 0.6138928571428569]
["'trimMean30_x_acc_on_t8'", 0.6138571428571428]
["'arithMean_vel_off_t3'", 0.613642857142857]
["'trimMean40_x_acc_on_t8'", 0.6136071428571429]
["'stdDevs_x_vel_on_t6'", 0.6133928571428571]
["'robustRange_x_vel_off_t8'", 0.6132500000000001]
["'trimMean40_vel_on_t8'", 0.6121428571428571]
["'percentiles99_vel_on_t8'", 0.6116785714285715]
["'moments5_x_acc_off_t2'", 0.6115714285714285]
["'moments4_x_vel_off_t3'", 0.6115357142857144]
["'trimMean20_vel_on_t8'", 0.6111785714285716]
["'robustRange_x_acc_on_t8'", 0.6111428571428573]
["'arithMean_x_vel_on_t8'", 0.6111428571428571]
["'moments5_y_vel_off_t2'", 0.6110714285714285]
["'geoMean_x_jerk_on_t6'", 0.611]
["'x_renyi3_i2_t6'", 0.611]
["'percentiles30_x_jerk_off_t7'", 0.6108571428571425]
["'moments4_x_vel_off_t2'", 0.6107857142857143]
["'moments4_x_jerk_off_t3'", 0.6107142857142857]
["'moments5_vel_off_t3'", 0.6103571428571426]
["'snr_ice_y_t8'", 0.6102142857142856]
["'percentiles99_x_acc_on_t8'", 0.6099642857142857]
["'percentiles90_vel_on_t8'", 0.6096785714285714]
["'moments4_y_vel_off_t2'", 0.6093571428571427]
["'trimMean10_x_vel_on_t8'", 0.6091785714285715]
["'arithMean_x_acc_on_t8'", 0.6090357142857141]
["'percentiles95_vel_off_t8'", 0.6087499999999999]
["'moments3_x_vel_off_t8'", 0.6087499999999999]
["'trimMean5_x_vel_on_t8'", 0.607964285714286]
["'interQuartiles_y_vel_on_t8'", 0.6075]
["'trimMean5_y_jerk_on_t8'", 0.6072142857142857]
["'moments4_y_jerk_off_t2'", 0.6071071428571428]
["'percentiles99_x_jerk_off_t2'", 0.6070357142857141]
["'medians_x_vel_on_t8'", 0.6068928571428571]
["'stdDevs_vel_on_t7'", 0.60675]
["'arithMean_jerk_on_t8'", 0.6064999999999999]
["'arithMean_x_vel_on_t3'", 0.6059999999999999]
["'percentiles90_x_vel_on_t7'", 0.6058928571428571]
["'trimMean10_vel_on_t8'", 0.6058214285714287]
["'moments4_x_acc_off_t3'", 0.6058214285714285]
["'moments3_x_jerk_off_t8'", 0.6056785714285714]
["'percentiles90_acc_off_t3'", 0.6051785714285716]
["'medians_x_vel_on_t8'", 0.6049642857142858]
["'stdDevs_x_jerk_on_t8'", 0.6049285714285713]
["'moments5_y_acc_off_t2'", 0.6047499999999999]
["'trimMean20_x_acc_on_t8'", 0.6043928571428571]
["'moments3_x_acc_off_t8'", 0.6041428571428572]
["'trimMean5_vel_on_t8'", 0.6036785714285715]
["'moments4_y_acc_off_t2'", 0.6029285714285715]
["'trimMean30_x_jerk_off_t7'", 0.6028928571428573]
["'arithMean_x_vel_on_t3'", 0.6027142857142856]
["'trimMean10_x_jerk_on_t8'", 0.6022857142857143]
["'trimMean5_x_jerk_on_t8'", 0.6022500000000001]
["'moments4_jerk_off_t3'", 0.6021785714285715]
["'robustRange_x_jerk_off_t2'", 0.6015357142857145]
["'moments5_y_jerk_off_t2'", 0.6015]
["'geoMean_x_vel_on_t8'", 0.6014642857142858]
["'arithMean_vel_on_t8'", 0.6011071428571428]
["'moments6_vel_off_t2'", 0.6010000000000002]
["'percentiles95_acc_off_t3'", 0.6006428571428571]
["'percentiles30_acc_on_t8'", 0.5996785714285714]
["'snr_ice_x_t6'", 0.5995714285714285]
["'moments3_y_jerk_off_t2'", 0.5992142857142856]
["'percentiles95_x_acc_on_t8'", 0.5987142857142858]
["'ranges_acc_off_t2'", 0.5986071428571428]
["'trimMean5_acc_on_t8'", 0.5980714285714285]
["'trimMean40_y_acc_on_t8'", 0.5978928571428571]
["'percentiles90_x_vel_on_t6'", 0.5971071428571428]
["'rel_NCP_t8'", 0.5967857142857141]
["'percentiles95_x_vel_on_t3'", 0.5966071428571428]
["'moments4_vel_off_t2'", 0.5965714285714285]
["'moments3_y_acc_off_t2'", 0.5962857142857145]
["'geoMean_x_vel_on_t8'", 0.5958214285714286]
["'ranges_jerk_off_t2'", 0.5954642857142856]
["'snr_tke1_y_t6'", 0.5953214285714287]
["'arithMean_x_vel_off_t8'", 0.5952857142857144]
["'trimMean30_acc_on_t8'", 0.5947500000000001]
["'arithMean_y_jerk_on_t8'", 0.5946428571428571]
["'moments4_x_acc_off_t2'", 0.5942857142857141]
["'interQuartiles_x_vel_off_t8'", 0.5939642857142856]
["'trimMean30_x_vel_on_t6'", 0.5938214285714285]
["'trimMean10_acc_on_t8'", 0.5937499999999999]
["'moments5_x_jerk_off_t3'", 0.593392857142857]
["'percentiles95_vel_off_t3'", 0.5931785714285711]
["'moments4_acc_off_t3'", 0.5930357142857142]
