['ranges_x_vel_on_t8', 0.5908333333333333]
['percentiles95_vel_off_t8', 0.5908333333333333]
['percentiles90_x_vel_on_t8', 0.5876666666666664]
['interQuartiles_vel_on_t8', 0.5871666666666666]
['percentiles99_x_vel_on_t8', 0.5863333333333334]
['moments4_x_vel_on_t8', 0.5846666666666666]
['snr_itke1_y_t8', 0.5844999999999999]
['robustRange_x_vel_on_t8', 0.5838333333333333]
['robustRange_x_vel_on_t8', 0.5823333333333334]
['rel_NCP_t8', 0.5818333333333334]
['moments3_x_vel_on_t8', 0.5816666666666662]
['interQuartiles_pressure_rate_t8', 0.5760000000000001]
['percentiles95_x_vel_on_t8', 0.5739999999999997]
['interQuartiles_x_vel_on_t8', 0.5728333333333331]
['percentiles90_vel_on_t8', 0.5673333333333335]
['arithMean_y_acc_off_t8', 0.5661666666666667]
['percentiles95_x_acc_off_t8', 0.5658333333333333]
['trimMean5_vel_off_t8', 0.5626666666666665]
['percentiles90_vel_off_t8', 0.5586666666666666]
['arithMean_acc_on_t8', 0.5585]
['geoMean_vel_off_t8', 0.5576666666666665]
['medians_vel_off_t8', 0.5574999999999999]
['trimMean5_acc_on_t8', 0.5556666666666668]
['trimMean40_x_acc_on_t8', 0.5553333333333333]
['percentiles95_vel_on_t8', 0.5546666666666666]
['percentiles95_y_vel_on_t8', 0.5546666666666666]
['percentiles95_acc_off_t8', 0.5538333333333335]
['robustRange_vel_off_t8', 0.5529999999999999]
['trimMean10_vel_off_t8', 0.5526666666666666]
['interQuartiles_vel_off_t8', 0.5526666666666665]
['percentiles99_vel_off_t8', 0.5525000000000001]
['percentiles30_y_vel_on_t8', 0.5515000000000001]
['trimMean40_pressure_rate_t8', 0.5496666666666666]
['percentiles95_x_vel_off_t8', 0.5479999999999999]
['arithMean_strokespeed_t8', 0.5456666666666667]
['trimMean10_acc_on_t8', 0.5431666666666667]
['percentiles30_pressure_rate_t8', 0.5423333333333334]
['trimMean30_vel_off_t8', 0.5423333333333332]
['trimMean20_vel_off_t8', 0.542166666666667]
['robustRange_vel_on_t8', 0.5293333333333332]
['y_renyi2_i2_t8', 0.5286666666666668]
['percentiles99_vel_on_t8', 0.5278333333333333]
['trimMean30_pressure_rate_t8', 0.5263333333333332]
['trimMean20_acc_on_t8', 0.5245]
['geoMean_pressure_rate_t8', 0.5220000000000001]
['medians_pressure_rate_t8', 0.5213333333333332]
['moments5_strokespeed_t8', 0.5186666666666667]
['y_shannon_t8', 0.5169999999999998]
['trimMean20_pressure_rate_t8', 0.5123333333333333]
['percentiles90_y_acc_on_t8', 0.5023333333333333]
['moments4_strokespeed_t8', 0.4846666666666665]
['percentiles95_x_acc_on_t8', 0.48233333333333334]
['geoMean_acc_off_t8', 0.4753333333333334]
['speed_t8', 0.475]
['percentiles90_x_acc_on_t8', 0.46733333333333343]
['y_shannon_i2_t8', 0.4621666666666668]
['arithMean_y_acc_on_t8', 0.4606666666666667]
['trimMean30_y_acc_on_t8', 0.4451666666666666]
['geoMean_acc_on_t8', 0.4203333333333334]
