['ranges_pressure_rate_t1', 0.6280714285714284]
['x_renyi2_i1_t1', 0.6137142857142858]
['x_renyi3_i1_t1', 0.5976071428571429]
['trimMean10_x_vel_off_t1', 0.5538571428571428]
['geoMean_x_vel_off_t1', 0.54275]
['geoMean_y_vel_off_t1', 0.5396785714285713]
['geoMean_vel_off_t1', 0.539]
['trimMean40_strokespeed_t1', 0.4488571428571428]
['modes_acc_off_t1', 0.40628571428571425]
['moments5_x_jerk_off_t1', 0.39714285714285713]
['percentiles1_pressure_rate_t1', 0.3445714285714284]
