['kurto_jerk_on_t7', 0.7685714285714285]
['ranges_jerk_on_t7', 0.7514285714285716]
['norm_offTime_t7', 0.7485714285714288]
['norm_onTime_t7', 0.7171428571428572]
['moments4_jerk_on_t7', 0.6914285714285718]
['kurto_y_jerk_on_t7', 0.6885714285714291]
['moments5_jerk_on_t7', 0.6628571428571433]
['percentiles1_pressure_rate_t7', 0.662857142857143]
['snr_ce_y_t7', 0.6114285714285718]
['snr_tke1_y_t7', 0.56]
