['y_renyi2_i1_t6', 0.7145]
['percentiles25_x_vel_on_t6', 0.6923333333333334]
['y_renyi3_i1_t6', 0.6804999999999999]
['y_shannon_i1_t6', 0.5506666666666666]
['snr_tke2_y_t6', 0.33916666666666656]
['geoMean_x_jerk_off_t6', 0.33016666666666666]
['geoMean_jerk_off_t6', 0.326]
['percentiles1_pressure_rate_t6', 0.3251666666666666]
['snr_tke1_y_t6', 0.30699999999999994]
