["'trimMean40_strokespeed_t8'", 0.6351666666666668]
["'percentiles90_vel_off_t3'", 0.6345]
["'geoMean_y_vel_on_t6'", 0.6345]
["'medians_strokespeed_t8'", 0.6343333333333332]
["'y_renyi3_i2_t2'", 0.6336666666666665]
["'trimMean30_strokespeed_t8'", 0.6333333333333335]
["'trimMean5_x_vel_on_t6'", 0.6328333333333334]
["'percentiles30_vel_off_t2'", 0.6326666666666665]
["'arithMean_y_vel_on_t8'", 0.6318333333333332]
["'trimMean10_x_vel_on_t6'", 0.6318333333333331]
["'trimMean40_x_vel_on_t6'", 0.6314999999999998]
["'trimMean30_x_vel_off_t8'", 0.6308333333333332]
["'trimMean20_x_vel_on_t6'", 0.6303333333333332]
["'percentiles99_y_vel_off_t8'", 0.6295]
["'arithMean_x_vel_on_t6'", 0.6288333333333332]
["'arithMean_vel_off_t8'", 0.6281666666666667]
["'arithMean_x_vel_on_t6'", 0.6266666666666665]
["'percentiles25_pressure_rate_t3'", 0.6264999999999997]
["'percentiles30_x_vel_on_t7'", 0.6248333333333335]
["'robustRange_x_vel_on_t6'", 0.6246666666666666]
["'percentiles90_y_vel_on_t8'", 0.6243333333333335]
["'geoMean_x_vel_on_t8'", 0.6243333333333332]
["'geoMean_x_vel_on_t8'", 0.6241666666666669]
["'trimMean30_x_vel_on_t6'", 0.6241666666666666]
["'trimMean40_y_vel_off_t2'", 0.6226666666666669]
["'percentiles90_x_vel_off_t8'", 0.621]
["'percentiles90_acc_on_t8'", 0.6208333333333332]
["'trimMean40_x_vel_off_t8'", 0.6206666666666666]
["'snr_itke1_x_t8'", 0.6198333333333331]
["'trimMean40_x_acc_on_t6'", 0.6193333333333333]
["'y_renyi2_i2_t4'", 0.6185]
["'robustRange_vel_off_t7'", 0.6183333333333334]
["'percentiles99_x_vel_on_t6'", 0.6163333333333333]
["'percentiles30_x_vel_off_t8'", 0.6160000000000003]
["'robustRange_x_vel_on_t6'", 0.6148333333333335]
["'percentiles99_vel_off_t7'", 0.6123333333333334]
["'interQuartiles_pressure_rate_t7'", 0.6103333333333334]
["'interQuartiles_y_vel_on_t8'", 0.6100000000000001]
["'x_renyi2_i2_t3'", 0.6094999999999999]
["'stdDevs_vel_off_t8'", 0.6093333333333334]
["'geoMean_x_vel_on_t6'", 0.6093333333333331]
