['geoMean_y_jerk_off_t2', 0.7275]
['x_shannon_i2_t2', 0.6675]
['percentiles30_y_vel_off_t2', 0.655]
['y_shannon_i2_t2', 0.62]
['y_renyi2_i2_t2', 0.575]
['trimMean30_y_vel_off_t2', 0.5525]
['y_renyi3_i2_t2', 0.545]
['medians_vel_off_t2', 0.5425]
['trimMean30_y_acc_off_t2', 0.5125]
['trimMean40_y_vel_off_t2', 0.4975]
['snr_ice_y_t2', 0.49]
['percentiles30_vel_off_t2', 0.4725]
['rel_NCA_off_t2', 0.4525]
['medians_y_acc_off_t2', 0.365]
['percentiles1_pressure_rate_t2', 0.3575]
