['medians_strokespeed_t8', 0.5053333333333334]
['interQuartiles_vel_on_t8', 0.5040000000000001]
['percentiles90_jerk_on_t8', 0.5040000000000001]
['arithMean_strokespeed_t8', 0.5013333333333335]
['moments3_acc_off_t8', 0.5000000000000001]
['trimMean10_x_vel_off_t8', 0.4973333333333334]
['arithMean_acc_on_t8', 0.49733333333333335]
['trimMean30_strokespeed_t8', 0.4973333333333332]
['percentiles90_vel_off_t8', 0.49333333333333335]
['trimMean10_strokespeed_t8', 0.4920000000000001]
['percentiles95_jerk_on_t8', 0.49200000000000005]
['interQuartiles_x_vel_on_t8', 0.4906666666666667]
['trimMean5_strokespeed_t8', 0.48933333333333345]
['trimMean20_x_jerk_on_t8', 0.48933333333333323]
['trimMean20_strokespeed_t8', 0.4879999999999998]
['percentiles95_x_vel_off_t8', 0.4866666666666666]
['percentiles95_x_acc_off_t8', 0.4853333333333334]
['percentiles95_vel_on_t8', 0.48533333333333323]
['geoMean_x_acc_off_t8', 0.48133333333333345]
['geoMean_y_vel_on_t8', 0.4813333333333331]
['rel_NCP_t8', 0.48]
['stdDevs_x_acc_on_t8', 0.4773333333333333]
['moments4_acc_off_t8', 0.47733333333333305]
['moments3_jerk_off_t8', 0.47466666666666674]
['percentiles90_x_jerk_on_t8', 0.4746666666666666]
['moments4_strokespeed_t8', 0.4733333333333333]
['interQuartiles_vel_off_t8', 0.4706666666666667]
['geoMean_x_vel_off_t8', 0.4666666666666665]
['moments4_x_jerk_off_t8', 0.4639999999999999]
['medians_jerk_on_t8', 0.46266666666666656]
['moments4_jerk_off_t8', 0.4626666666666665]
['moments4_x_acc_off_t8', 0.4573333333333332]
['moments3_vel_off_t8', 0.4560000000000003]
['trimMean10_y_vel_on_t8', 0.456]
['trimMean30_jerk_on_t8', 0.45466666666666655]
['trimMean30_x_jerk_on_t8', 0.4493333333333334]
['moments4_vel_off_t8', 0.44799999999999984]
['moments6_x_vel_off_t8', 0.4466666666666665]
['trimMean20_x_vel_off_t8', 0.4426666666666668]
['moments5_x_vel_off_t8', 0.4386666666666666]
['moments5_vel_off_t8', 0.4333333333333333]
['moments6_vel_off_t8', 0.43066666666666664]
['moments5_acc_off_t8', 0.4306666666666665]
['moments5_x_jerk_off_t8', 0.4306666666666665]
['moments4_x_vel_off_t8', 0.4266666666666665]
['interQuartiles_x_jerk_on_t8', 0.4239999999999998]
['moments3_x_jerk_on_t8', 0.4213333333333333]
['moments6_x_jerk_off_t8', 0.4186666666666667]
['percentiles1_pressure_rate_t8', 0.4173333333333333]
['moments6_x_acc_off_t8', 0.4173333333333331]
['moments5_jerk_off_t8', 0.4133333333333332]
['moments6_strokespeed_t8', 0.4106666666666666]
['moments5_x_acc_off_t8', 0.4106666666666666]
['moments5_strokespeed_t8', 0.3999999999999999]
