['percentiles95_x_acc_off_t8', 0.5757142857142855]
['trimMean10_strokespeed_t8', 0.575535714285714]
['percentiles90_jerk_on_t8', 0.5747857142857145]
['trimMean40_strokespeed_t8', 0.5743214285714285]
['percentiles95_vel_on_t8', 0.5735357142857143]
['moments3_strokespeed_t8', 0.5708571428571427]
['moments3_x_acc_off_t8', 0.5699642857142858]
['arithMean_vel_off_t8', 0.5690357142857142]
['moments3_acc_off_t8', 0.5679285714285713]
['trimMean5_x_vel_off_t8', 0.5678214285714287]
['trimMean30_strokespeed_t8', 0.5677857142857143]
['moments3_x_jerk_off_t8', 0.5675714285714286]
['moments4_x_jerk_off_t8', 0.5664642857142858]
['percentiles99_vel_off_t8', 0.5635714285714287]
['stdDevs_x_acc_on_t8', 0.5618214285714285]
['percentiles95_x_vel_off_t8', 0.5617857142857142]
['geoMean_acc_on_t8', 0.5613571428571427]
['medians_strokespeed_t8', 0.5609642857142857]
['moments4_x_acc_off_t8', 0.5600357142857142]
['trimMean20_strokespeed_t8', 0.5586071428571429]
['medians_jerk_on_t8', 0.558107142857143]
['stdDevs_vel_off_t8', 0.5571071428571429]
['trimMean10_y_vel_on_t8', 0.5565714285714286]
['trimMean10_x_vel_off_t8', 0.5551071428571429]
['trimMean30_x_jerk_on_t8', 0.5551071428571427]
['moments3_jerk_off_t8', 0.5550714285714287]
['stdDevs_acc_off_t8', 0.5512857142857142]
['moments4_strokespeed_t8', 0.5508928571428571]
['geoMean_y_vel_on_t8', 0.5507142857142858]
['trimMean20_x_jerk_on_t8', 0.5500357142857143]
['percentiles90_vel_off_t8', 0.5464285714285715]
['trimMean20_x_vel_off_t8', 0.5442857142857143]
['geoMean_x_vel_off_t8', 0.5439285714285713]
['interQuartiles_vel_off_t8', 0.5413571428571429]
['moments4_x_vel_off_t8', 0.5409999999999999]
['moments3_vel_off_t8', 0.5399999999999998]
['percentiles90_x_jerk_on_t8', 0.5169642857142857]
['moments4_jerk_off_t8', 0.4900357142857144]
['moments4_acc_off_t8', 0.4825357142857143]
['moments5_x_jerk_off_t8', 0.4763571428571429]
['moments5_x_acc_off_t8', 0.4575714285714286]
['moments4_vel_off_t8', 0.4521785714285715]
['moments5_x_vel_off_t8', 0.4466785714285713]
['moments6_x_vel_off_t8', 0.4363214285714287]
['moments6_x_jerk_off_t8', 0.4188571428571429]
['moments5_acc_off_t8', 0.4116071428571428]
['moments6_x_acc_off_t8', 0.4102500000000001]
['moments5_strokespeed_t8', 0.4080714285714285]
['moments5_vel_off_t8', 0.4078928571428571]
['moments5_jerk_off_t8', 0.4062857142857142]
['moments6_vel_off_t8', 0.40592857142857125]
['moments6_strokespeed_t8', 0.39874999999999994]
['percentiles1_pressure_rate_t8', 0.37592857142857133]
['interQuartiles_x_jerk_on_t8', 0.3693928571428572]
['moments3_x_jerk_on_t8', 0.3654999999999999]
