['trimMean40_y_vel_on_t8', 0.6022222222222223]
['interQuartiles_x_vel_on_t8', 0.6000000000000003]
['geoMean_y_acc_on_t8', 0.6000000000000003]
['moments4_x_vel_on_t8', 0.6000000000000003]
['percentiles95_y_jerk_on_t8', 0.6000000000000003]
['stdDevs_jerk_on_t8', 0.5977777777777782]
['trimMean10_y_vel_on_t8', 0.5977777777777782]
['medians_x_vel_on_t8', 0.5977777777777781]
['trimMean30_y_acc_on_t8', 0.5955555555555561]
['trimMean5_y_jerk_on_t8', 0.5955555555555558]
['trimMean10_jerk_on_t8', 0.5955555555555557]
['ranges_x_vel_on_t8', 0.5933333333333337]
['interQuartiles_y_vel_on_t8', 0.5933333333333337]
['ranges_x_vel_off_t8', 0.5933333333333336]
['trimMean20_jerk_on_t8', 0.5933333333333336]
['moments3_x_vel_on_t8', 0.5933333333333336]
['moments6_pressure_rate_t8', 0.5933333333333336]
['percentiles99_y_jerk_on_t8', 0.5933333333333335]
['ranges_vel_off_t8', 0.5933333333333334]
['moments5_x_jerk_off_t8', 0.5933333333333334]
['percentiles95_strokespeed_t8', 0.5911111111111116]
['moments4_y_vel_on_t8', 0.5911111111111115]
['moments6_x_vel_on_t8', 0.5911111111111114]
['robustRange_y_jerk_on_t8', 0.5911111111111113]
['moments3_acc_on_t8', 0.5911111111111113]
['moments5_x_acc_on_t8', 0.5911111111111113]
['stdDevs_y_jerk_on_t8', 0.5888888888888892]
['percentiles99_x_vel_off_t8', 0.5888888888888892]
['trimMean40_x_acc_on_t8', 0.5888888888888892]
['trimMean40_vel_on_t8', 0.5888888888888891]
['percentiles99_jerk_off_t8', 0.5888888888888891]
['robustRange_strokespeed_t8', 0.588888888888889]
['arithMean_x_vel_on_t8', 0.588888888888889]
['trimMean5_x_acc_on_t8', 0.588888888888889]
['trimMean30_x_acc_on_t8', 0.588888888888889]
['arithMean_strokespeed_t8', 0.5888888888888889]
['geoMean_x_vel_off_t8', 0.5866666666666672]
['arithMean_x_acc_on_t8', 0.5866666666666671]
['medians_acc_on_t8', 0.5866666666666669]
['trimMean10_acc_on_t8', 0.5866666666666667]
['robustRange_jerk_off_t8', 0.5844444444444449]
['interQuartiles_vel_on_t8', 0.5844444444444447]
['moments3_jerk_on_t8', 0.5844444444444445]
['percentiles95_x_jerk_on_t8', 0.5844444444444445]
['arithMean_vel_on_t8', 0.5822222222222225]
['stdDevs_y_vel_on_t8', 0.5822222222222225]
['percentiles99_acc_on_t8', 0.5822222222222225]
['medians_vel_on_t8', 0.5822222222222224]
['x_renyi2_i1_t8', 0.5822222222222223]
['robustRange_y_vel_on_t8', 0.5800000000000002]
['moments4_x_jerk_off_t8', 0.5800000000000002]
['percentiles99_y_acc_on_t8', 0.5800000000000002]
['percentiles99_y_jerk_off_t8', 0.5800000000000001]
['percentiles99_y_acc_off_t8', 0.58]
['robustRange_y_acc_off_t8', 0.5777777777777781]
['x_renyi2_t8', 0.577777777777778]
['stdDevs_y_acc_on_t8', 0.5777777777777778]
['trimMean5_x_jerk_on_t8', 0.5777777777777778]
['trimMean20_y_jerk_on_t8', 0.5755555555555557]
['arithMean_acc_on_t8', 0.5755555555555556]
['geoMean_x_acc_on_t8', 0.5755555555555556]
['robustRange_y_acc_on_t8', 0.5755555555555556]
['percentiles90_y_vel_on_t8', 0.5755555555555556]
['percentiles95_jerk_on_t8', 0.5733333333333336]
['rel_NCP_t8', 0.5733333333333335]
['ranges_x_jerk_on_t8', 0.5733333333333335]
['percentiles90_vel_on_t8', 0.5733333333333335]
['trimMean5_acc_on_t8', 0.5733333333333335]
['arithMean_x_vel_on_t8', 0.5711111111111115]
['x_renyi3_t8', 0.5711111111111115]
['ranges_pressure_rate_t8', 0.5711111111111113]
['percentiles95_vel_on_t8', 0.5711111111111113]
['interQuartiles_x_vel_off_t8', 0.5711111111111112]
['trimMean20_vel_on_t8', 0.5711111111111112]
['trimMean30_x_jerk_on_t8', 0.5711111111111112]
['trimMean10_y_jerk_on_t8', 0.566666666666667]
['geoMean_vel_on_t8', 0.5666666666666669]
['speed_t8', 0.5622222222222224]
['moments4_vel_off_t8', 0.5622222222222224]
['ranges_x_acc_on_t8', 0.5622222222222221]
['x_shannon_i1_t8', 0.5600000000000003]
['percentiles90_jerk_on_t8', 0.5600000000000002]
['trimMean30_vel_on_t8', 0.56]
['arithMean_x_jerk_on_t8', 0.557777777777778]
['ranges_x_acc_off_t8', 0.5577777777777778]
['percentiles99_strokespeed_t8', 0.5555555555555558]
['trimMean10_vel_on_t8', 0.5555555555555558]
['moments5_pressure_rate_t8', 0.5555555555555558]
['trimMean30_jerk_on_t8', 0.5533333333333335]
['percentiles99_y_vel_on_t8', 0.5533333333333333]
['robustRange_acc_on_t8', 0.5511111111111111]
['trimMean5_vel_on_t8', 0.5444444444444446]
['trimMean30_acc_on_t8', 0.5444444444444446]
['trimMean30_y_jerk_on_t8', 0.5422222222222224]
['snr_ice_y_t8', 0.5266666666666668]
