['y_renyi3_i2_t5', 0.7333333333333333]
['y_renyi2_i2_t5', 0.725]
['percentiles1_pressure_rate_t5', 0.725]
['medians_y_vel_off_t5', 0.6833333333333333]
['x_renyi3_i2_t5', 0.675]
['trimMean10_y_jerk_off_t5', 0.6666666666666666]
['snr_ice_y_t5', 0.65]
['interQuartiles_y_jerk_off_t5', 0.6333333333333333]
['interQuartiles_jerk_off_t5', 0.6166666666666667]
