['geoMean_x_acc_off_t8', 0.5093333333333333]
['percentiles90_vel_off_t8', 0.5026666666666667]
['arithMean_acc_on_t8', 0.5013333333333334]
['trimMean5_strokespeed_t8', 0.5013333333333333]
['trimMean30_jerk_on_t8', 0.5013333333333331]
['geoMean_vel_on_t8', 0.49866666666666676]
['trimMean5_x_vel_off_t8', 0.49866666666666654]
['trimMean10_x_vel_off_t8', 0.4973333333333333]
['geoMean_acc_on_t8', 0.4973333333333332]
['arithMean_vel_off_t8', 0.4973333333333332]
['percentiles95_strokespeed_t8', 0.49200000000000005]
['interQuartiles_x_vel_on_t8', 0.4906666666666667]
['moments3_jerk_off_t8', 0.4906666666666666]
['medians_strokespeed_t8', 0.4879999999999999]
['medians_jerk_on_t8', 0.4879999999999999]
['percentiles95_vel_on_t8', 0.4866666666666667]
['moments4_x_acc_off_t8', 0.48533333333333323]
['percentiles95_x_vel_off_t8', 0.48399999999999993]
['trimMean30_strokespeed_t8', 0.4826666666666668]
['geoMean_y_vel_on_t8', 0.4826666666666666]
['arithMean_strokespeed_t8', 0.4813333333333334]
['interQuartiles_vel_off_t8', 0.48133333333333334]
['trimMean10_y_vel_on_t8', 0.4786666666666668]
['percentiles90_jerk_on_t8', 0.47600000000000003]
['moments4_x_vel_off_t8', 0.4746666666666666]
['trimMean30_x_jerk_on_t8', 0.4746666666666666]
['geoMean_x_vel_off_t8', 0.47466666666666657]
['percentiles90_vel_on_t8', 0.4733333333333334]
['trimMean40_strokespeed_t8', 0.47333333333333305]
['trimMean20_x_vel_off_t8', 0.4693333333333334]
['stdDevs_x_acc_on_t8', 0.4693333333333332]
['trimMean10_strokespeed_t8', 0.4653333333333334]
['trimMean20_x_jerk_on_t8', 0.46533333333333327]
['moments3_vel_off_t8', 0.4626666666666665]
['moments4_strokespeed_t8', 0.4533333333333329]
['moments4_jerk_off_t8', 0.45066666666666655]
['percentiles90_x_jerk_on_t8', 0.43866666666666676]
['moments4_acc_off_t8', 0.4346666666666667]
['moments4_vel_off_t8', 0.43333333333333335]
['moments4_x_jerk_off_t8', 0.43066666666666664]
['moments6_x_acc_off_t8', 0.4200000000000001]
['moments5_jerk_off_t8', 0.41999999999999993]
['moments5_x_jerk_off_t8', 0.41999999999999976]
['moments6_vel_off_t8', 0.4159999999999999]
['moments5_vel_off_t8', 0.4133333333333333]
['moments5_x_vel_off_t8', 0.4133333333333333]
['percentiles1_pressure_rate_t8', 0.41066666666666657]
['moments6_x_vel_off_t8', 0.40933333333333316]
['moments3_x_jerk_on_t8', 0.4093333333333331]
['moments5_acc_off_t8', 0.39733333333333326]
['interQuartiles_x_jerk_on_t8', 0.39599999999999985]
['moments6_x_jerk_off_t8', 0.3933333333333334]
['moments5_x_acc_off_t8', 0.3933333333333333]
['moments5_strokespeed_t8', 0.38933333333333325]
['moments6_strokespeed_t8', 0.37999999999999995]
